DNI,APE,TEMP_AMB,VEL_VIENTO,SMR,POTENCIA
642.03432,1.73087334,10.853,0.0531,0.655178661,705.81473,2
631.9853,1.732893763,11.768,2.5682,0.662403722,690.23373,2
616.54412,1.734938218,15.373,0.663,0.673768805,657.04643,2
609.92647,1.737219806,12.02,8.8302,0.679745397,669.12167,2
619.2402,1.743701442,15.619,2.5135,0.686946102,683.45614,2
637.9902,1.738138608,13.483,0.0367,0.688582426,695.21964,2
662.86765,1.744469192,10.546,2.5967,0.691529135,738.30085,2
632.72059,1.750235219,15.597,0.0476,0.693758527,706.5937,2
617.89216,1.744161338,15.701,1.4678,0.699333373,672.3158,2
610.53922,1.745308464,18.873,0.0454,0.699520099,733.54867,2
625.98039,1.77276683,14.178,2.8304,0.704640975,759.64664,2
672.91667,1.74732998,11.538,4.3688,0.705220984,732.84749,2
612.5,1.744602666,11.291,6.469,0.707421287,691.48026,2
656.86275,1.751945734,12.727,2.1072,0.710716327,714.69584,2
654.16667,1.753250729,15.915,2.9607,0.711664174,724.74546,2
664.21569,1.752902977,12.014,9.0295,0.724172571,722.56414,2
626.59314,1.756778802,18.517,2.7636,0.725893091,682.05379,2
691.66667,1.720936719,16.386,8.6977,0.726257802,764.08719,2
640.68628,1.779429754,14.118,0.0389,0.727001898,776.16243,2
624.63235,1.774281487,19.158,3.54,0.729380035,730.66617,2
658.21079,1.755788663,12.403,4.5878,0.730050353,731.9127,2
654.77941,1.763813345,12.716,8.1158,0.73380037,759.2572,2
679.65686,1.762511104,15.959,1.8603,0.735749315,753.4143,2
678.92157,1.731160774,13.083,0.0372,0.738625789,753.10267,2
670.22059,1.76815363,15.482,0.0367,0.742377794,751.70043,2
640.68628,1.78141594,19.52,2.3985,0.745745381,748.81793,2
691.05392,1.769489231,16.468,2.998,0.749898582,762.76286,2
697.05883,1.763368916,12.94,2.5928,0.75064828,764.08719,2
669.60784,1.78732187,13.97,3.0921,0.752427106,807.55795,2
604.53432,1.765450294,31.09,1.9638,0.754637559,696.23244,2
640.07353,1.768559127,15.11,3.2372,0.755303127,708.15176,2
680.26961,1.77510973,15.734,0.046,0.755419651,771.72188,2
649.50981,1.76734408,13.373,0.0438,0.755704951,712.82604,2
624.63235,1.767075028,28.033,7.5863,0.75579179,730.43244,2
622.67157,1.7661833,22.023,0.0482,0.759568591,694.28485,2
660.90686,1.766734484,12.743,3.0341,0.760406456,733.39285,2
681.0049,1.767042121,15.285,0.0788,0.761786811,737.28805,2
607.84314,1.762155251,35.363,3.0352,0.76624916,700.04973,2
660.17157,1.78887822,19.596,3.0259,0.766379355,780.21345,2
691.05392,1.78174251,10.93,3.6905,0.770045181,803.74066,2
693.75,1.743303492,17.361,2.7073,0.77504536,782.47268,2
603.18628,1.768012669,31.66,14.057,0.780576472,696.93351,2
603.79902,1.76600318,32.618,8.7985,0.781284583,696.69989,2
685.66177,1.77821348,19.454,1.1519,0.782873313,747.72732,2
679.65686,1.776718247,13.028,2.6952,0.78294778,752.55742,2
685.04902,1.796268382,20.018,2.854,0.784519503,794.08047,2
656.12745,1.781044391,14.819,0.9176,0.786187175,732.22433,2
631.37255,1.776312119,31.128,0.046,0.787061241,731.28943,2
643.38235,1.778287261,28.104,6.2812,0.787719884,750.84344,2
611.15196,1.769659118,34.853,14.605,0.787730953,706.20416,2
616.54412,1.79341115,20.413,6.1186,0.788942456,764.86628,2
623.28432,1.787889748,30.624,9.7346,0.793639283,749.05165,2
605.14706,1.777741758,31.101,6.2401,0.799451137,712.12497,2
697.79412,1.803503884,19.476,1.6955,0.799947818,823.76211,2
611.88726,1.777431905,32.936,11.1635,0.800579609,709.16457,2
682.35294,1.78457561,12.957,4.7072,0.802751559,765.95699,2
615.19608,1.754161769,27.688,3.759,0.80456242,736.04162,2
611.88726,1.776016503,28.657,3.1726,0.806524191,701.52988,2
674.26471,1.783483134,22.012,0.0411,0.807330133,748.97375,2
624.63235,1.783261161,31.84,0.058,0.809608983,735.49626,2
649.50981,1.785745055,31.66,2.5222,0.813870533,754.66083,2
693.01471,1.790638543,14.869,3.2301,0.814059097,759.49082,2
629.28922,1.796238015,30.849,8.9331,0.814938539,761.82796,2
642.03432,1.790693868,26.603,5.1211,0.817534065,749.59701,2
639.33824,1.802984577,20.396,9.2769,0.817857622,799.37802,2
636.76471,1.781448633,34.842,4.4986,0.819394856,746.48079,2
607.84314,1.780875671,34.821,10.1578,0.819755062,716.48762,2
693.01471,1.789711446,14.77,1.5915,0.820916903,800.62444,2
647.42647,1.781595871,35.609,5.0028,0.822914077,756.06307,2
609.19118,1.786339918,34.662,9.2928,0.82434034,715.39691,2
640.07353,1.786868307,32.958,8.5762,0.82599444,735.96371,2
630.02451,1.782974198,36.541,9.3881,0.827117523,742.6635,2
612.5,1.789000842,31.632,10.0434,0.828570752,726.77097,2
639.33824,1.761900092,27.726,0.0389,0.828716504,768.29402,2
693.75,1.791166079,22.029,0.0433,0.82877062,776.7857,2
653.43137,1.809339467,20.248,3.6068,0.831113862,821.6587,2
650.12255,1.791565338,32.224,5.8744,0.834444258,763.07449,2
607.23039,1.798464025,33.593,12.984,0.834646248,742.35187,2
645.46569,1.784813006,33.215,8.7415,0.835330152,748.89584,2
611.15196,1.763476062,29.435,6.5478,0.83542815,750.37609,2
631.9853,1.787760812,31.966,8.8313,0.836184313,742.50768,2
635.41667,1.791332675,34.18,10.825,0.836612925,752.24579,2
652.81863,1.803906637,31.101,1.7404,0.83759217,786.91323,2
602.45098,1.794666102,30.547,9.5162,0.838812364,693.42786,2
675,1.795009121,31.271,2.6848,0.839301548,788.00395,2
600.4902,1.795872127,36.568,4.1482,0.840932847,715.78645,2
692.40196,1.796371082,28.268,4.2188,0.841292523,810.05091,3
646.81373,1.800930702,13.209,4.6623,0.842250143,744.29947,2
618.62745,1.793078317,33.55,9.1625,0.842497055,710.95635,2
666.91177,1.79019765,35.615,7.7221,0.846461188,775.53917,2
658.21079,1.769578741,27.414,0.0389,0.847178995,790.10736,2
630.63726,1.790519289,35.056,8.73,0.850019999,738.7683,2
633.33333,1.795128971,34.755,9.6071,0.850730489,745.77972,2
